Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,TimeCat,Mean,StDev,,Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,Mean,StDev,,TRE Min,TRE Max,Clay,Stir_Time,Mean,StDev,,"Table # | Means, standard deviations, and differences iacross mixing time means (DiffMeans) among clay types. Higher positive DiffMeans indicate better returns on investment of mixing time within that clay type.",,,,,,,,,,
Kaolin,10m,43.69,21.8,97.5,4,24.38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10m,51.67,23.6,97.3,3.5,27.80,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10m,62.46,23.4,97.3,3,32.43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10m,63.08,16.5,98.1,3,32.70,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10m,63.32,13.9,98.4,3,32.80,5,54.64,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10s,9.56,23.9,97.2,10,9.72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10s,10.80,22.2,97.4,9.5,10.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10s,12.10,23.3,97.3,9,10.81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10s,13.66,20.3,97.6,8.5,11.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10s,13.69,19.4,97.7,8.5,11.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,10s,15.19,24.4,97.1,8,12.14,1,12.50,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,30s,9.58,23.0,97.3,10,9.73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,30s,10.80,22.6,97.4,9.5,10.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,30s,21.89,20.5,97.6,6.5,15.02,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,30s,24.61,24.4,97.1,6,16.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,30s,24.69,23.3,97.3,6,16.22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,30s,24.77,20.6,97.5,6,16.25,2,19.39,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,1m,12.07,24.2,97.2,9,10.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,1m,15.19,24.4,97.1,8,12.14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,1m,15.33,20.1,97.6,8,12.20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,1m,21.82,21.9,97.4,6.5,14.98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,1m,24.61,24.8,97.1,6,16.18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhassoul,1m,24.69,23.1,97.3,6,16.22,3,18.95,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
